Month,Year,Date,UnemploymentRates,Type
,,,8,Black/AfricanAmerican
,,,9.1,Black/AfricanAmerican
,,,8.9,Black/AfricanAmerican
,,,9.5,Black/AfricanAmerican
,,,9.8,Black/AfricanAmerican
,,,10.1,Black/AfricanAmerican
,,,10,Black/AfricanAmerican
,,,9.9,Black/AfricanAmerican
,,,10.5,Black/AfricanAmerican
,,,10.7,Black/AfricanAmerican
,,,10.2,Black/AfricanAmerican
,,,10.5,Black/AfricanAmerican
,,,9.8,Black/AfricanAmerican
,,,9.8,Black/AfricanAmerican
,,,9.7,Black/AfricanAmerican
,,,9.8,Black/AfricanAmerican
,,,10.7,Black/AfricanAmerican
,,,11.3,Black/AfricanAmerican
,,,10.5,Black/AfricanAmerican
,,,10.7,Black/AfricanAmerican
,,,10.3,Black/AfricanAmerican
,,,10.9,Black/AfricanAmerican
,,,10.9,Black/AfricanAmerican
,,,11.5,Black/AfricanAmerican
,,,10.9,Black/AfricanAmerican
,,,10.9,Black/AfricanAmerican
,,,11.1,Black/AfricanAmerican
,,,11.4,Black/AfricanAmerican
,,,10.2,Black/AfricanAmerican
,,,10.1,Black/AfricanAmerican
,,,10.4,Black/AfricanAmerican
,,,9.7,Black/AfricanAmerican
,,,10.3,Black/AfricanAmerican
,,,9.8,Black/AfricanAmerican
,,,10.1,Black/AfricanAmerican
,,,10.2,Black/AfricanAmerican
,,,11,Black/AfricanAmerican
,,,10.5,Black/AfricanAmerican
,,,10.3,Black/AfricanAmerican
,,,10.8,Black/AfricanAmerican
,,,10.7,Black/AfricanAmerican
,,,10.7,Black/AfricanAmerican
,,,10.6,Black/AfricanAmerican
,,,10.9,Black/AfricanAmerican
,,,10.5,Black/AfricanAmerican
,,,10.3,Black/AfricanAmerican
,,,10.1,Black/AfricanAmerican
,,,10.2,Black/AfricanAmerican
,,,9.2,Black/AfricanAmerican
,,,9.7,Black/AfricanAmerican
,,,9.4,Black/AfricanAmerican
,,,9.1,Black/AfricanAmerican
,,,10.6,Black/AfricanAmerican
,,,9.2,Black/AfricanAmerican
,,,8.9,Black/AfricanAmerican
,,,9.5,Black/AfricanAmerican
,,,9.5,Black/AfricanAmerican
,,,9.4,Black/AfricanAmerican
,,,8.7,Black/AfricanAmerican
,,,8.9,Black/AfricanAmerican
,,,9.5,Black/AfricanAmerican
,,,8.8,Black/AfricanAmerican
,,,9,Black/AfricanAmerican
,,,8.4,Black/AfricanAmerican
,,,8.5,Black/AfricanAmerican
,,,8.3,Black/AfricanAmerican
,,,7.9,Black/AfricanAmerican
,,,8,Black/AfricanAmerican
,,,8.4,Black/AfricanAmerican
,,,8.3,Black/AfricanAmerican
,,,8.3,Black/AfricanAmerican
,,,8.5,Black/AfricanAmerican
,,,8.1,Black/AfricanAmerican
,,,7.6,Black/AfricanAmerican
,,,8,Black/AfricanAmerican
,,,8.5,Black/AfricanAmerican
,,,8.5,Black/AfricanAmerican
,,,9,Black/AfricanAmerican
,,,9.1,Black/AfricanAmerican
,,,8.4,Black/AfricanAmerican
,,,9.2,Black/AfricanAmerican
,,,8.6,Black/AfricanAmerican
,,,9.6,Black/AfricanAmerican
,,,9.4,Black/AfricanAmerican
,,,10,Black/AfricanAmerican
,,,10.6,Black/AfricanAmerican
,,,11.3,Black/AfricanAmerican
,,,11.4,Black/AfricanAmerican
,,,11.5,Black/AfricanAmerican
,,,12.1,Black/AfricanAmerican
,,,12.7,Black/AfricanAmerican
,,,13.7,Black/AfricanAmerican
,,,13.7,Black/AfricanAmerican
,,,15,Black/AfricanAmerican
,,,15,Black/AfricanAmerican
,,,14.8,Black/AfricanAmerican
,,,14.8,Black/AfricanAmerican
,,,14.8,Black/AfricanAmerican
,,,15.3,Black/AfricanAmerican
,,,15.8,Black/AfricanAmerican
,,,15.7,Black/AfricanAmerican
,,,16.1,Black/AfricanAmerican
,,,16.5,Black/AfricanAmerican
,,,16.1,Black/AfricanAmerican
,,,16.8,Black/AfricanAmerican
,,,16.6,Black/AfricanAmerican
,,,15.5,Black/AfricanAmerican
,,,15.2,Black/AfricanAmerican
,,,15.6,Black/AfricanAmerican
,,,15.9,Black/AfricanAmerican
,,,16,Black/AfricanAmerican
,,,15.6,Black/AfricanAmerican
,,,16.2,Black/AfricanAmerican
,,,15.5,Black/AfricanAmerican
,,,15.8,Black/AfricanAmerican
,,,15.5,Black/AfricanAmerican
,,,15.8,Black/AfricanAmerican
,,,16.5,Black/AfricanAmerican
,,,16.3,Black/AfricanAmerican
,,,16.2,Black/AfricanAmerican
,,,15.9,Black/AfricanAmerican
,,,16.4,Black/AfricanAmerican
,,,15.9,Black/AfricanAmerican
,,,14.6,Black/AfricanAmerican
,,,15.6,Black/AfricanAmerican
,,,15.4,Black/AfricanAmerican
,,,13.6,Black/AfricanAmerican
,,,14,Black/AfricanAmerican
,,,14,Black/AfricanAmerican
,,,13.3,Black/AfricanAmerican
,,,13.5,Black/AfricanAmerican
,,,14.5,Black/AfricanAmerican
,,,14.2,Black/AfricanAmerican
,,,13.8,Black/AfricanAmerican
,,,13.6,Black/AfricanAmerican
,,,14.1,Black/AfricanAmerican
,,,13.3,Black/AfricanAmerican
,,,14,Black/AfricanAmerican
,,,13.7,Black/AfricanAmerican
,,,13.8,Black/AfricanAmerican
,,,13,Black/AfricanAmerican
,,,13.3,Black/AfricanAmerican
,,,13.4,Black/AfricanAmerican
,,,14.2,Black/AfricanAmerican
,,,12.6,Black/AfricanAmerican
,,,12.8,Black/AfricanAmerican
,,,13,Black/AfricanAmerican
,,,12.8,Black/AfricanAmerican
,,,12.3,Black/AfricanAmerican
,,,11.9,Black/AfricanAmerican
,,,12.1,Black/AfricanAmerican
,,,11.8,Black/AfricanAmerican
,,,12.1,Black/AfricanAmerican
,,,11.6,Black/AfricanAmerican
,,,11.4,Black/AfricanAmerican
,,,11,Black/AfricanAmerican
,,,11.6,Black/AfricanAmerican
,,,11.4,Black/AfricanAmerican
,,,11,Black/AfricanAmerican
,,,10.6,Black/AfricanAmerican
,,,10.9,Black/AfricanAmerican
,,,10.6,Black/AfricanAmerican
,,,10.3,Black/AfricanAmerican
,,,10.1,Black/AfricanAmerican
,,,9.9,Black/AfricanAmerican
,,,9.7,Black/AfricanAmerican
,,,10.3,Black/AfricanAmerican
,,,9.7,Black/AfricanAmerican
,,,9.1,Black/AfricanAmerican
,,,9.4,Black/AfricanAmerican
,,,9.3,Black/AfricanAmerican
,,,9,Black/AfricanAmerican
,,,9.4,Black/AfricanAmerican
,,,8.5,Black/AfricanAmerican
,,,8.7,Black/AfricanAmerican
,,,8.5,Black/AfricanAmerican
,,,8.9,Black/AfricanAmerican
,,,8.8,Black/AfricanAmerican
,,,8.2,Black/AfricanAmerican
,,,8.8,Black/AfricanAmerican
,,,8.4,Black/AfricanAmerican
,,,8,Black/AfricanAmerican
,,,8.5,Black/AfricanAmerican
,,,8.4,Black/AfricanAmerican
,,,8.1,Black/AfricanAmerican
,,,7.9,Black/AfricanAmerican
,,,7.5,Black/AfricanAmerican
,,,7.9,Black/AfricanAmerican
,,,7.9,Black/AfricanAmerican
,,,7.9,Black/AfricanAmerican
,,,7.7,Black/AfricanAmerican
,,,7.1,Black/AfricanAmerican
,,,7.4,Black/AfricanAmerican
,,,7.7,Black/AfricanAmerican
,,,7.2,Black/AfricanAmerican
,,,7.4,Black/AfricanAmerican
,,,7.4,Black/AfricanAmerican
,,,6.7,Black/AfricanAmerican
,,,7.5,Black/AfricanAmerican
,,,6.7,Black/AfricanAmerican
,,,6.8,Black/AfricanAmerican
,,,6.4,Black/AfricanAmerican
,,,5.9,Black/AfricanAmerican
,,,6.5,Black/AfricanAmerican
,,,6.6,Black/AfricanAmerican
,,,6.3,Black/AfricanAmerican
,,,6.2,Black/AfricanAmerican
,,,6.3,Black/AfricanAmerican
,,,6.1,Black/AfricanAmerican
,,,6.6,Black/AfricanAmerican
,,,6.8,Black/AfricanAmerican
,,,6.9,Black/AfricanAmerican
,,,6.6,Black/AfricanAmerican
,,,6.6,Black/AfricanAmerican
,,,6.2,Black/AfricanAmerican
,,,6,Black/AfricanAmerican
,,,5.9,Black/AfricanAmerican
,,,5.4,Black/AfricanAmerican
,,,5.5,Black/AfricanAmerican
,,,5.5,Black/AfricanAmerican
,,,5.6,Black/AfricanAmerican
,,,5.9,Black/AfricanAmerican
,,,6,Black/AfricanAmerican
,,,5.8,Black/AfricanAmerican
,,,6.7,Black/AfricanAmerican
,,,16.7,Black/AfricanAmerican
,,,16.8,Black/AfricanAmerican
,,,15.4,Black/AfricanAmerican
,,,14.6,Black/AfricanAmerican
,,,13,Black/AfricanAmerican
,,,12.1,Black/AfricanAmerican
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,0,Asian
,,,5.5,Asian
,,,5.8,Asian
,,,6.5,Asian
,,,6,Asian
,,,5.5,Asian
,,,7.4,Asian
,,,5.9,Asian
,,,6,Asian
,,,6.4,Asian
,,,6.2,Asian
,,,5.2,Asian
,,,5.4,Asian
,,,5,Asian
,,,4.5,Asian
,,,4.3,Asian
,,,4.7,Asian
,,,4.6,Asian
,,,4.6,Asian
,,,3.9,Asian
,,,3.7,Asian
,,,4.5,Asian
,,,4.9,Asian
,,,4.1,Asian
,,,4.2,Asian
,,,4.1,Asian
,,,4.3,Asian
,,,3.9,Asian
,,,4.2,Asian
,,,4.2,Asian
,,,3.6,Asian
,,,4.8,Asian
,,,3.7,Asian
,,,4.3,Asian
,,,3.2,Asian
,,,3.6,Asian
,,,3.8,Asian
,,,3,Asian
,,,3,Asian
,,,3.5,Asian
,,,3.9,Asian
,,,3.3,Asian
,,,3.1,Asian
,,,2.4,Asian
,,,3,Asian
,,,3,Asian
,,,2.8,Asian
,,,3.1,Asian
,,,2.5,Asian
,,,3.1,Asian
,,,2.6,Asian
,,,3,Asian
,,,3.5,Asian
,,,3.2,Asian
,,,2.7,Asian
,,,2.7,Asian
,,,3.5,Asian
,,,3.4,Asian
,,,3.8,Asian
,,,3.6,Asian
,,,3.7,Asian
,,,3.1,Asian
,,,2.9,Asian
,,,3.6,Asian
,,,3.5,Asian
,,,4.1,Asian
,,,4.2,Asian
,,,3.7,Asian
,,,4.5,Asian
,,,4,Asian
,,,3.9,Asian
,,,4.8,Asian
,,,5.1,Asian
,,,6.1,Asian
,,,6.7,Asian
,,,6.5,Asian
,,,6.8,Asian
,,,7,Asian
,,,7.9,Asian
,,,8.1,Asian
,,,7.6,Asian
,,,7.6,Asian
,,,7.6,Asian
,,,7.2,Asian
,,,8.4,Asian
,,,8.3,Asian
,,,8.2,Asian
,,,7.6,Asian
,,,7,Asian
,,,7.8,Asian
,,,7.4,Asian
,,,7.9,Asian
,,,7.3,Asian
,,,6.6,Asian
,,,7.2,Asian
,,,7.5,Asian
,,,7.2,Asian
,,,6.8,Asian
,,,6.7,Asian
,,,7.3,Asian
,,,6.5,Asian
,,,7.2,Asian
,,,6.5,Asian
,,,7.4,Asian
,,,7.2,Asian
,,,8,Asian
,,,7.4,Asian
,,,6.4,Asian
,,,6.8,Asian
,,,6.7,Asian
,,,6.2,Asian
,,,6.4,Asian
,,,5.4,Asian
,,,5.5,Asian
,,,6.1,Asian
,,,5.9,Asian
,,,5.9,Asian
,,,4.9,Asian
,,,4.9,Asian
,,,6.3,Asian
,,,6.6,Asian
,,,6.4,Asian
,,,6,Asian
,,,5.1,Asian
,,,5.3,Asian
,,,4.5,Asian
,,,4.7,Asian
,,,5.3,Asian
,,,5.1,Asian
,,,5.4,Asian
,,,5.4,Asian
,,,5.2,Asian
,,,4.3,Asian
,,,4.7,Asian
,,,5.9,Asian
,,,5.5,Asian
,,,5.9,Asian
,,,5.7,Asian
,,,4.7,Asian
,,,4.2,Asian
,,,4.5,Asian
,,,4.4,Asian
,,,5.1,Asian
,,,4.8,Asian
,,,4.4,Asian
,,,4,Asian
,,,4,Asian
,,,3.2,Asian
,,,4.4,Asian
,,,4.1,Asian
,,,3.9,Asian
,,,3.9,Asian
,,,3.4,Asian
,,,3.5,Asian
,,,3.5,Asian
,,,3.9,Asian
,,,4.1,Asian
,,,3.6,Asian
,,,3.8,Asian
,,,3.9,Asian
,,,3.8,Asian
,,,4.2,Asian
,,,3.5,Asian
,,,3.8,Asian
,,,4.1,Asian
,,,3.8,Asian
,,,3.4,Asian
,,,3.1,Asian
,,,2.7,Asian
,,,3.7,Asian
,,,3.4,Asian
,,,3.3,Asian
,,,3.3,Asian
,,,3.7,Asian
,,,3.6,Asian
,,,3.8,Asian
,,,3.9,Asian
,,,3.6,Asian
,,,3,Asian
,,,3,Asian
,,,2.5,Asian
,,,3,Asian
,,,2.9,Asian
,,,3.1,Asian
,,,2.8,Asian
,,,2.2,Asian
,,,3.2,Asian
,,,3.1,Asian
,,,3,Asian
,,,3.5,Asian
,,,3.1,Asian
,,,2.8,Asian
,,,3.3,Asian
,,,3.1,Asian
,,,3.1,Asian
,,,3.1,Asian
,,,2.2,Asian
,,,2.5,Asian
,,,2.1,Asian
,,,2.8,Asian
,,,2.8,Asian
,,,2.5,Asian
,,,2.8,Asian
,,,2.6,Asian
,,,2.5,Asian
,,,3,Asian
,,,2.5,Asian
,,,4.1,Asian
,,,14.5,Asian
,,,15,Asian
,,,13.8,Asian
,,,12,Asian
,,,10.7,Asian
,,,8.9,Asian
,,,5.8,Hispanic/Latino
,,,5.1,Hispanic/Latino
,,,6,Hispanic/Latino
,,,5.7,Hispanic/Latino
,,,5.8,Hispanic/Latino
,,,6.1,Hispanic/Latino
,,,6.2,Hispanic/Latino
,,,6.4,Hispanic/Latino
,,,6.3,Hispanic/Latino
,,,6.6,Hispanic/Latino
,,,6.2,Hispanic/Latino
,,,6.5,Hispanic/Latino
,,,6.7,Hispanic/Latino
,,,7.1,Hispanic/Latino
,,,7.3,Hispanic/Latino
,,,7.7,Hispanic/Latino
,,,7.8,Hispanic/Latino
,,,7,Hispanic/Latino
,,,7.5,Hispanic/Latino
,,,8,Hispanic/Latino
,,,7.1,Hispanic/Latino
,,,7.4,Hispanic/Latino
,,,7.4,Hispanic/Latino
,,,7.5,Hispanic/Latino
,,,7.4,Hispanic/Latino
,,,7.9,Hispanic/Latino
,,,7.8,Hispanic/Latino
,,,7.9,Hispanic/Latino
,,,7.9,Hispanic/Latino
,,,7.7,Hispanic/Latino
,,,7.8,Hispanic/Latino
,,,7.6,Hispanic/Latino
,,,8,Hispanic/Latino
,,,8.3,Hispanic/Latino
,,,8,Hispanic/Latino
,,,7.7,Hispanic/Latino
,,,7.3,Hispanic/Latino
,,,7.5,Hispanic/Latino
,,,7.4,Hispanic/Latino
,,,6.7,Hispanic/Latino
,,,7.3,Hispanic/Latino
,,,7.4,Hispanic/Latino
,,,7.6,Hispanic/Latino
,,,7.1,Hispanic/Latino
,,,6.9,Hispanic/Latino
,,,6.6,Hispanic/Latino
,,,6.8,Hispanic/Latino
,,,6.8,Hispanic/Latino
,,,6.8,Hispanic/Latino
,,,6.8,Hispanic/Latino
,,,6.7,Hispanic/Latino
,,,6.6,Hispanic/Latino
,,,6,Hispanic/Latino
,,,6.3,Hispanic/Latino
,,,5.8,Hispanic/Latino
,,,6.4,Hispanic/Latino
,,,6,Hispanic/Latino
,,,5.7,Hispanic/Latino
,,,5.5,Hispanic/Latino
,,,5.8,Hispanic/Latino
,,,6.4,Hispanic/Latino
,,,6,Hispanic/Latino
,,,6.1,Hispanic/Latino
,,,6.1,Hispanic/Latino
,,,5.5,Hispanic/Latino
,,,5.4,Hispanic/Latino
,,,5.2,Hispanic/Latino
,,,5.5,Hispanic/Latino
,,,5,Hispanic/Latino
,,,5.2,Hispanic/Latino
,,,5.2,Hispanic/Latino
,,,5.3,Hispanic/Latino
,,,5.5,Hispanic/Latino
,,,4.8,Hispanic/Latino
,,,5.1,Hispanic/Latino
,,,5,Hispanic/Latino
,,,5.5,Hispanic/Latino
,,,5.1,Hispanic/Latino
,,,5,Hispanic/Latino
,,,5.6,Hispanic/Latino
,,,5.8,Hispanic/Latino
,,,5.5,Hispanic/Latino
,,,5.9,Hispanic/Latino
,,,5.5,Hispanic/Latino
,,,5.9,Hispanic/Latino
,,,5.7,Hispanic/Latino
,,,5.9,Hispanic/Latino
,,,6.3,Hispanic/Latino
,,,6.3,Hispanic/Latino
,,,6.2,Hispanic/Latino
,,,6.9,Hispanic/Latino
,,,7.1,Hispanic/Latino
,,,6.9,Hispanic/Latino
,,,7.6,Hispanic/Latino
,,,7.5,Hispanic/Latino
,,,8,Hispanic/Latino
,,,8,Hispanic/Latino
,,,8.8,Hispanic/Latino
,,,8.7,Hispanic/Latino
,,,9.4,Hispanic/Latino
,,,10.1,Hispanic/Latino
,,,11.3,Hispanic/Latino
,,,11.7,Hispanic/Latino
,,,11.4,Hispanic/Latino
,,,12.3,Hispanic/Latino
,,,12.1,Hispanic/Latino
,,,12.5,Hispanic/Latino
,,,13,Hispanic/Latino
,,,12.6,Hispanic/Latino
,,,12.8,Hispanic/Latino
,,,12.4,Hispanic/Latino
,,,12.8,Hispanic/Latino
,,,12.9,Hispanic/Latino
,,,12.7,Hispanic/Latino
,,,12.9,Hispanic/Latino
,,,12.5,Hispanic/Latino
,,,12,Hispanic/Latino
,,,12.3,Hispanic/Latino
,,,12.2,Hispanic/Latino
,,,12,Hispanic/Latino
,,,12.3,Hispanic/Latino
,,,12.3,Hispanic/Latino
,,,12.9,Hispanic/Latino
,,,12.9,Hispanic/Latino
,,,12.3,Hispanic/Latino
,,,11.8,Hispanic/Latino
,,,11.6,Hispanic/Latino
,,,11.9,Hispanic/Latino
,,,11.6,Hispanic/Latino
,,,11.5,Hispanic/Latino
,,,11.2,Hispanic/Latino
,,,11.2,Hispanic/Latino
,,,11.2,Hispanic/Latino
,,,11.3,Hispanic/Latino
,,,11.2,Hispanic/Latino
,,,11.1,Hispanic/Latino
,,,10.7,Hispanic/Latino
,,,10.9,Hispanic/Latino
,,,10.6,Hispanic/Latino
,,,10.3,Hispanic/Latino
,,,10.9,Hispanic/Latino
,,,10.9,Hispanic/Latino
,,,10.2,Hispanic/Latino
,,,10.1,Hispanic/Latino
,,,9.7,Hispanic/Latino
,,,10,Hispanic/Latino
,,,9.9,Hispanic/Latino
,,,9.6,Hispanic/Latino
,,,9.7,Hispanic/Latino
,,,9.7,Hispanic/Latino
,,,9.3,Hispanic/Latino
,,,9,Hispanic/Latino
,,,9,Hispanic/Latino
,,,9.1,Hispanic/Latino
,,,9.4,Hispanic/Latino
,,,9.2,Hispanic/Latino
,,,8.8,Hispanic/Latino
,,,9.1,Hispanic/Latino
,,,8.7,Hispanic/Latino
,,,8.3,Hispanic/Latino
,,,8.3,Hispanic/Latino
,,,8.2,Hispanic/Latino
,,,7.9,Hispanic/Latino
,,,7.2,Hispanic/Latino
,,,7.7,Hispanic/Latino
,,,7.8,Hispanic/Latino
,,,7.7,Hispanic/Latino
,,,7.4,Hispanic/Latino
,,,6.8,Hispanic/Latino
,,,6.8,Hispanic/Latino
,,,6.6,Hispanic/Latino
,,,6.4,Hispanic/Latino
,,,6.7,Hispanic/Latino
,,,6.8,Hispanic/Latino
,,,6.8,Hispanic/Latino
,,,6.8,Hispanic/Latino
,,,6.8,Hispanic/Latino
,,,6.7,Hispanic/Latino
,,,6.9,Hispanic/Latino
,,,6.6,Hispanic/Latino
,,,6.2,Hispanic/Latino
,,,6.3,Hispanic/Latino
,,,6.4,Hispanic/Latino
,,,6.2,Hispanic/Latino
,,,5.8,Hispanic/Latino
,,,5.4,Hispanic/Latino
,,,5.5,Hispanic/Latino
,,,6.1,Hispanic/Latino
,,,5.6,Hispanic/Latino
,,,5.9,Hispanic/Latino
,,,5.5,Hispanic/Latino
,,,5.6,Hispanic/Latino
,,,6.4,Hispanic/Latino
,,,5.8,Hispanic/Latino
,,,5.8,Hispanic/Latino
,,,5.9,Hispanic/Latino
,,,5.8,Hispanic/Latino
,,,5.5,Hispanic/Latino
,,,5,Hispanic/Latino
,,,5.1,Hispanic/Latino
,,,5.2,Hispanic/Latino
,,,4.9,Hispanic/Latino
,,,5.1,Hispanic/Latino
,,,5.2,Hispanic/Latino
,,,5.1,Hispanic/Latino
,,,4.9,Hispanic/Latino
,,,4.8,Hispanic/Latino
,,,5,Hispanic/Latino
,,,5,Hispanic/Latino
,,,4.9,Hispanic/Latino
,,,5,Hispanic/Latino
,,,4.8,Hispanic/Latino
,,,4.9,Hispanic/Latino
,,,4.5,Hispanic/Latino
,,,4.4,Hispanic/Latino
,,,4.7,Hispanic/Latino
,,,4.6,Hispanic/Latino
,,,4.4,Hispanic/Latino
,,,4.5,Hispanic/Latino
,,,4.4,Hispanic/Latino
,,,4.8,Hispanic/Latino
,,,4.3,Hispanic/Latino
,,,4.7,Hispanic/Latino
,,,4.2,Hispanic/Latino
,,,4.2,Hispanic/Latino
,,,4.3,Hispanic/Latino
,,,4.5,Hispanic/Latino
,,,4.2,Hispanic/Latino
,,,3.9,Hispanic/Latino
,,,4.1,Hispanic/Latino
,,,4.2,Hispanic/Latino
,,,4.2,Hispanic/Latino
,,,4.3,Hispanic/Latino
,,,4.4,Hispanic/Latino
,,,6,Hispanic/Latino
,,,18.9,Hispanic/Latino
,,,17.6,Hispanic/Latino
,,,14.5,Hispanic/Latino
,,,12.9,Hispanic/Latino
,,,10.5,Hispanic/Latino
,,,10.3,Hispanic/Latino
